Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link
"(''Face-changed' images cause stir online', 'people's daily ', '2019-02-27')",Regular Individual->Influential Individual,Regular Individual,Influential Individual,Deceptive & Fraudulent Behavior_Impersonation,,Bilibili (streaming site),http://en.chinaculture.org/2019-02/27/content_1353051.htm
"(''Maximum complaints with cyber police station related to social media'', 'the times of india', '2017-05-22')",Influential Individual->Regular Individual,Influential Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Protective Measures,Online,https://timesofindia.indiatimes.com/city/nashik/maximum-complaints-with-cyber-police-statioRegular Groupelated-to-social-media/articleshow/58779933.cms
"(''Sim swap' gives fraudsters access-all-areas via your mobile phone', 'the guardian', '2015-09-26')",Regular Group->Regular Group,Regular Group,Regular Group,Deceptive & Fraudulent Behavior_Cybersecurity,Fraud,Email,https://www.theguardian.com/money/2015/sep/26/sim-swap-fraud-mobile-phone-vodafone-customer
"(''Thappad': Taapsee Pannu starrer gets leaked on the internet by Tamilrockers', 'the times of india', '2020-02-29')",Regular Group->Influential Individual,Regular Group,Influential Individual,Deceptive & Fraudulent Behavior_Intellectual Property,,Online,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/thappad-taapsee-pannu-starrer-gets-leaked-on-the-internet-by-tamilrockers/articleshow/74398101.cms
"('£25,000 stolen online. But even more shocking: Barclays washes its hands of it', 'the guardian', '2016-03-05')",Regular Individual->Regular Group,Regular Individual,Regular Group,Deceptive & Fraudulent Behavior_Fraud,,Online,https://www.theguardian.com/money/blog/2016/mar/05/scams-fraud-barclays-online-crime-prevent
"('2 plead guilty in stabbing death tied to Facebook feud', 'chicago tribune', '2017-09-12')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Violent Behavior,Facebook,https://www.chicagotribune.com/2017/09/12/2-plead-guilty-in-stabbing-death-tied-to-facebook-feud/
"('22-year-old arrested for morphing CM's photo on social media', 'the hindustan times', '2020-04-24')",Regular Individual->Influential Group,Regular Individual,Influential Group,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Social Media,https://www.hindustantimes.com/mumbai-news/22-year-old-arrested-for-morphing-cm-s-photo-on-social-media/story-4z4QILM09eWmbDnlDm9AbL.html
"('58-year-old man loses Rs 31 lakh in online scam: Telegram, YouTube likes and more, here's how he was duped', 'the times of india', '2023-07-25')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,"Fraud, Legal Action",Telegram,https://timesofindia.indiatimes.com/gadgets-news/58-year-old-man-loses-rs-31-lakh-in-online-scam-telegram-youtube-likes-and-more-heres-how-he-was-duped/articleshow/102066874.cms
"('A Holocaust survivor fell for a woman online. Then he lost $2.8 million, feds say.', 'the washington post', '2023-01-26')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Fraud,Online dating website,https://www.washingtonpost.com/nation/2023/01/26/holocaust-survivor-romance-scam-peaches-stergo/
"('A Media Personality, Suffering a Blow to His Image, Ponders a Lesson', 'new york times', '2012-08-20')",Influential Individual->Influential Individual,Influential Individual,Influential Individual,Deceptive & Fraudulent Behavior_Intellectual Property,Restricted from job/school,News,https://www.nytimes.com/2012/08/20/business/media/scandal-threatens-fareed-zakarias-image-as-media-star.html?smid=tw-share
"('Agence France-Presse takes Musk's Twitter to court over news content', 'the washington post', '2023-08-04')",S->Influential Individual,S,Influential Individual,Deceptive & Fraudulent Behavior_Intellectual Property,Legal Action,Twitter,https://www.washingtonpost.com/technology/2023/08/03/afp-elon-musk-x-news-payment/
"('Andrews in fresh SF tweets controversy', 'irish examiner', '2013-09-07')",Influential Individual->Regular Group,Influential Individual,Regular Group,Deceptive & Fraudulent Behavior_Impersonation,,Twitter,https://www.irishexaminer.com/news/arid-20242274.html
"('Arbaaz Khan's email account hacked', 'the hindustan times', '2011-08-25')",Regular Group->Influential Individual,Regular Group,Influential Individual,Deceptive & Fraudulent Behavior_Cybersecurity,,Email,https://www.indiaforums.com/article/arbaaz-khans-email-account-hacked_28295
"('Attorney files claim against Porter County Council president over Facebook post', 'chicago tribune', '2023-01-06')",Influential Individual->Influential Individual,Influential Individual,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Facebook,https://www.chicagotribune.com/2023/01/06/attorney-files-claim-against-porter-county-council-president-over-facebook-post/
"('Avoiding a Bad Date Takes Some Work --- Beware, scammers use all sorts of tricks to hook victims via online dating services', 'wall street journal', '2018-03-17')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Fraud,Facebook,https://www.wsj.com/articles/how-to-protect-yourself-from-an-online-dating-scam-1521129300
"('Bercow faces fine for naming girl on Twitter', 'the daily telegraph', '2012-11-20')",Influential Individual->Influential Individual,Influential Individual,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Twitter,https://www.thedrum.com/news/2012/11/20/sally-bercow-deletes-twitter-account
"('Beware of errant online retailers', 'the straits times', '2017-01-20')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Fraud,Carousell,https://www.straitstimes.com/singapore/courts-crime/buying-something-online-beware-e-commerce-scams-crime-prevention-campaign-to
"('Beware of fraudsters when booking a holiday online', 'the hindustan times', '2010-07-06')",Regular Group->Regular Group,Regular Group,Regular Group,Deceptive & Fraudulent Behavior_Fraud,,Online,https://www.theguardian.com/money/2010/jul/06/holiday-internet-booking-scams
"('Blogger erases comment after minister sends lawyer's letter', 'the straits times', '2012-02-15')",Influential Individual->Influential Individual,Influential Individual,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Online,https://ifonlysingaporeans.blogspot.com/2012/02/blogger-erases-comment-after-minister.html
"('Can't malign judicial officers online: Bench', 'the hindustan times', '2023-05-31')",Regular Individual->Influential Individual,Regular Individual,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Social Media,https://www.dailypioneer.com/2023/india/one-can---t-malign-judicial-officers-by-using-social-media--says-sc.html
"('Check the WhatsApp messages that made woman lose Rs 27 lakh in 'YouTube like' scam', 'the times of india', '2023-04-27')",Regular Group->Regular Individual,Regular Group,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Fraud,Whatsapp,https://timesofindia.indiatimes.com/gadgets-news/check-the-whatsapp-messages-that-made-woman-lose-rs-27-lakh-in-youtube-like-scam/articleshow/99779802.cms
"('Clamp down on social media, demand MPs', 'the times of india', '2013-02-28')",Regular Individual->Influential Individual,Regular Individual,Influential Individual,Deceptive & Fraudulent Behavior_Impersonation,,Facebook,https://timesofindia.indiatimes.com/social/clamp-down-on-social-media-demand-mps/articleshow/18718544.cms
"('Communal tension erupts after offensive Facebook post on Hindu deities', 'the times of india', '2017-04-07')",Regular Individual->Influential Individual,Regular Individual,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,"Violent Behavior, Legal Action",Facebook,https://timesofindia.indiatimes.com/city/bhubaneswar/communal-tension-erupts-after-offensive-facebook-post-on-hindu-deities/articleshow/58053042.cms
"('Cops nab man for online fraud', 'the times of india', '2019-06-29')",Regular Individual->Regular Group,Regular Individual,Regular Group,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Shopping portal,https://timesofindia.indiatimes.com/city/ahmedabad/cops-nab-man-for-online-fraud/articleshow/69981624.cms
"('Cops warn online buyers of rising OLX fraud cases', 'the times of india', '2018-06-11')",Regular Group->Regular Group,Regular Group,Regular Group,Deceptive & Fraudulent Behavior_Fraud,Legal Action,OLX,https://timesofindia.indiatimes.com/city/hyderabad/cops-warn-online-buyers-of-rising-olx-fraud-cases/articleshow/64534797.cms
"('Coronavirus outbreak: Don't post derogatory remarks against state government on social media, IMA Maharashtra tells doctors', 'the hindustan times', '2020-04-21')",Regular Group->Regular Group,Regular Group,Regular Group,Deceptive & Fraudulent Behavior_Defamation,Protective Measures,Whatsapp,https://www.hindustantimes.com/mumbai-news/coronavirus-outbreak-don-t-post-derogatory-remarks-against-state-government-on-social-media-ima-maharashtra-tells-doctors/story-GATTdb9Wtauycori76vq6M.html
"('Couple used social media to rob people', 'the times of india', '2016-12-26')",Regular Group->Regular Individual,Regular Group,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Facebook,https://timesofindia.indiatimes.com/city/hyderabad/couple-used-social-media-to-rob-people/articleshow/56163831.cms
"('Dehradun man loses Rs 8.7 lakh in YouTube channel scam', 'the times of india', '2023-04-29')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,"Fraud, Legal Action",Telegram,https://timesofindia.indiatimes.com/city/dehradun/dehradun-man-loses-rs-8-7-lakh-in-youtube-channel-scam/articleshow/99828788.cms
"('Dickson Yeo and spying in the time of social networking', 'the straits times', '2020-08-03')",Regular Individual->Influential Individual,Regular Individual,Influential Individual,Deceptive & Fraudulent Behavior_Impersonation,,Linkedin,https://www.straitstimes.com/singapore/spying-in-the-time-of-social-networking
"('Doctor's Defamation Suit Highlights Online Patient Reviews; Case involving a Chicago woman is scheduled to go to trial next year', 'wall street journal', '2017-09-19')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,RealSelf,https://www.wsj.com/articles/doctors-defamation-suit-highlights-online-patient-reviews-1505859521
"('Domestic worker hired online flees with cash in Gurugram's DLF Phase II', 'the hindustan times', '2022-09-26')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Online,https://inshorts.com/en/news/domestic-help-hired-online-in-ggram-locks-employer-runs-away-with-cash-1664180593395
"('Don't fall victim to online shopping fraud this season', 'chicago tribune', '2016-12-11')",Influential Individual->Regular Individual,Influential Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,,Online,https://digitaledition.chicagotribune.com/tribune/article_popover.aspx?guid=49c63371-b0ea-4116-ae2a-2b82ceafe677
"('ED attaches rRs.r1.77 crore in bank accounts linked to Rana Ayyub', 'the hindustan times', '2022-02-10')",Influential Individual->Regular Group,Influential Individual,Regular Group,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Ketto,https://www.hindustantimes.com/india-news/ed-attaches-rs-1-77-crore-in-bank-accounts-linked-to-rana-ayyub-101644515375855.html
"('Engg student alleges rape by social media friend', 'the times of india', '2022-06-02')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Violent Behavior,Social Media,https://timesofindia.indiatimes.com/city/surat/engg-student-alleges-rape-by-social-media-friend/articleshow/91927904.cms
"('Engineer duped of lakhs in Rs 12cr online fraud', 'the times of india', '2011-11-18')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Email,https://timesofindia.indiatimes.com/city/delhi/engineer-duped-of-lakhs-iRegular Groups-12cr-online-fraud/articleshow/10762961.cms
"('Everyone'stealing jokes online. Why doesn't anyone care? (Posted 2015-01-27 17:36:17)', 'the washington post', '2015-01-01')",Regular Group->Regular Individual,Regular Group,Regular Individual,Deceptive & Fraudulent Behavior_Intellectual Property,,Twitter,https://www.washingtonpost.com/posteverything/wp/2015/01/27/everyones-stealing-jokes-online-why-doesnt-anyone-care/
"('Ex-BJP IT wing chief stopped from posting hate comments against Tamil Nadu minister', 'the hindustan times', '2023-04-13')",Influential Individual->Influential Individual,Influential Individual,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Twitter,https://www.hindustantimes.com/india-news/madras-high-court-restrains-former-bjp-it-wing-chief-from-making-defamatory-comments-against-electricity-minister-tamilnadu-aiadmk-bjp-defamation-101681327335562.html
"('Ex-serviceman loses Rs 3.7L in online power bill fraud', 'the times of india', '2023-06-13')",Regular Group->Regular Individual,Regular Group,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Fraud,Message,https://timesofindia.indiatimes.com/city/pune/ex-serviceman-loses-rs-3-7l-in-online-power-bill-fraud/articleshow/100950133.cms
